Sample Name	Protocol REF	Date	Parameter Value[extraction volume in ml]	Protocol REF	Date	Protocol REF	Sample Name	Parameter Value[acquisition timestamp]	Parameter Value[batch sequence identifier]	MS Assay Name	Raw Spectral Data File
01 RW rc 0h	HotAqueousMethanol_1		0.5	MX_TMS_1		data acquisition	01 RW rc 0h	29/06/2010 15:57	29/06/2010	01 RW rc 0h	01 RW rc 0h.CDF
02 RW rc 0h	HotAqueousMethanol_1		0.5	MX_TMS_1		data acquisition	02 RW rc 0h	29/06/2010 20:16	29/06/2010	02 RW rc 0h	02 RW rc 0h.CDF
03 RW rc 0h	HotAqueousMethanol_1		0.5	MX_TMS_1		data acquisition	03 RW rc 0h	30/06/2010 01:39	29/06/2010	03 RW rc 0h	03 RW rc 0h.CDF
04 RW rc 0h	HotAqueousMethanol_1		0.5	MX_TMS_1		data acquisition	04 RW rc 0h	30/06/2010 07:03	29/06/2010	04 RW rc 0h	04 RW rc 0h.CDF
05 RW rc 0h	HotAqueousMethanol_1		0.5	MX_TMS_1		data acquisition	05 RW rc 0h	30/06/2010 12:26	29/06/2010	05 RW rc 0h	05 RW rc 0h.CDF
06 RW rc 4h	HotAqueousMethanol_1		0.5	MX_TMS_1		data acquisition	06 RW rc 4h	29/06/2010 17:02	29/06/2010	06 RW rc 4h	06 RW rc 4h.CDF
07 RW rc 4h	HotAqueousMethanol_1		0.5	MX_TMS_1		data acquisition	07 RW rc 4h	29/06/2010 22:25	29/06/2010	07 RW rc 4h	07 RW rc 4h.CDF
08 RW rc 4h	HotAqueousMethanol_1		0.5	MX_TMS_1		data acquisition	08 RW rc 4h	30/06/2010 02:44	29/06/2010	08 RW rc 4h	08 RW rc 4h.CDF
09 RW rc 4h	HotAqueousMethanol_1		0.5	MX_TMS_1		data acquisition	09 RW rc 4h	30/06/2010 08:07	29/06/2010	09 RW rc 4h	09 RW rc 4h.CDF
10 RW rc 4h	HotAqueousMethanol_1		0.5	MX_TMS_1		data acquisition	10 RW rc 4h	30/06/2010 13:31	29/06/2010	10 RW rc 4h	10 RW rc 4h.CDF
11 RW rc 8h	HotAqueousMethanol_1		0.5	MX_TMS_1		data acquisition	11 RW rc 8h	29/06/2010 18:06	29/06/2010	11 RW rc 8h	11 RW rc 8h.CDF
12 RW rc 8h	HotAqueousMethanol_1		0.5	MX_TMS_1		data acquisition	12 RW rc 8h	29/06/2010 23:30	29/06/2010	12 RW rc 8h	12 RW rc 8h.CDF
13 RW rc 8h	HotAqueousMethanol_1		0.5	MX_TMS_1		data acquisition	13 RW rc 8h	30/06/2010 04:53	29/06/2010	13 RW rc 8h	13 RW rc 8h.CDF
14 RW rc 8h	HotAqueousMethanol_1		0.5	MX_TMS_1		data acquisition	14 RW rc 8h	30/06/2010 09:12	29/06/2010	14 RW rc 8h	14 RW rc 8h.CDF
15 RW rc 8h	HotAqueousMethanol_1		0.5	MX_TMS_1		data acquisition	15 RW rc 8h	30/06/2010 14:36	29/06/2010	15 RW rc 8h	15 RW rc 8h.CDF
16 RW rc 24h	HotAqueousMethanol_1		0.5	MX_TMS_1		data acquisition	16 RW rc 24h	29/06/2010 19:11	29/06/2010	16 RW rc 24h	16 RW rc 24h.CDF
17 RW rc 24h	HotAqueousMethanol_1		0.5	MX_TMS_1		data acquisition	17 RW rc 24h	30/06/2010 12:35	29/06/2010	17 RW rc 24h	17 RW rc 24h.CDF
18 RW rc 24h	HotAqueousMethanol_1		0.5	MX_TMS_1		data acquisition	18 RW rc 24h	30/06/2010 05:58	29/06/2010	18 RW rc 24h	18 RW rc 24h.CDF
19 RW rc 24h	HotAqueousMethanol_1		0.5	MX_TMS_1		data acquisition	19 RW rc 24h	30/06/2010 11:22	29/06/2010	19 RW rc 24h	19 RW rc 24h.CDF
20 RW rc 24h	HotAqueousMethanol_1		0.5	MX_TMS_1		data acquisition	20 RW rc 24h	30/06/2010 15:41	29/06/2010	20 RW rc 24h	20 RW rc 24h.CDF
1 RW wc 0h	HotAqueousMethanol_1		0.5	MX_TMS_1		data acquisition	1 RW wc 0h	25/06/2010 17:58	25/06/2010	1 RW wc 0h	1 RW wc 0h.CDF
2 RW wc 0h	HotAqueousMethanol_1		0.5	MX_TMS_1		data acquisition	2 RW wc 0h	26/06/2010 12:26	25/06/2010	2 RW wc 0h	2 RW wc 0h.CDF
3 RW wc 0h	HotAqueousMethanol_1		0.5	MX_TMS_1		data acquisition	3 RW wc 0h	26/06/2010 06:54	25/06/2010	3 RW wc 0h	3 RW wc 0h.CDF
4 RW wc 0h	HotAqueousMethanol_1		0.5	MX_TMS_1		data acquisition	4 RW wc 0h	26/06/2010 13:22	25/06/2010	4 RW wc 0h	4 RW wc 0h.CDF
5 RW wc 0h	HotAqueousMethanol_1		0.5	MX_TMS_1		data acquisition	5 RW wc 0h	26/06/2010 19:51	25/06/2010	5 RW wc 0h	5 RW wc 0h.CDF
6 RW wc 4h	HotAqueousMethanol_1		0.5	MX_TMS_1		data acquisition	6 RW wc 4h	25/06/2010 19:03	25/06/2010	6 RW wc 4h	6 RW wc 4h.CDF
7 RW wc 4h	HotAqueousMethanol_1		0.5	MX_TMS_1		data acquisition	7 RW wc 4h	26/06/2010 01:31	25/06/2010	7 RW wc 4h	7 RW wc 4h.CDF
8 RW wc 4h	HotAqueousMethanol_1		0.5	MX_TMS_1		data acquisition	8 RW wc 4h	26/06/2010 07:59	25/06/2010	8 RW wc 4h	8 RW wc 4h.CDF
9 RW wc 4h	HotAqueousMethanol_1		0.5	MX_TMS_1		data acquisition	9 RW wc 4h	26/06/2010 14:27	25/06/2010	9 RW wc 4h	9 RW wc 4h.CDF
10 RW wc 4h	HotAqueousMethanol_1		0.5	MX_TMS_1		data acquisition	10 RW wc 4h	26/06/2010 20:56	25/06/2010	10 RW wc 4h	10 RW wc 4h.CDF
11 RW wc 8h	HotAqueousMethanol_1		0.5	MX_TMS_1		data acquisition	11 RW wc 8h	25/06/2010 20:08	25/06/2010	11 RW wc 8h	11 RW wc 8h.CDF
12 RW wc 8h	HotAqueousMethanol_1		0.5	MX_TMS_1		data acquisition	12 RW wc 8h	26/06/2010 02:36	25/06/2010	12 RW wc 8h	12 RW wc 8h.CDF
13 RW wc 8h	HotAqueousMethanol_1		0.5	MX_TMS_1		data acquisition	13 RW wc 8h	26/06/2010 09:03	25/06/2010	13 RW wc 8h	13 RW wc 8h.CDF
14 RW wc 8h	HotAqueousMethanol_1		0.5	MX_TMS_1		data acquisition	14 RW wc 8h	26/06/2010 15:32	25/06/2010	14 RW wc 8h	14 RW wc 8h.CDF
15 RW wc 8h	HotAqueousMethanol_1		0.5	MX_TMS_1		data acquisition	15 RW wc 8h	26/06/2010 22:00	25/06/2010	15 RW wc 8h	15 RW wc 8h.CDF
16 RW wc 24h	HotAqueousMethanol_1		0.5	MX_TMS_1		data acquisition	16 RW wc 24h	25/06/2010 21:12	25/06/2010	16 RW wc 24h	16 RW wc 24h.CDF
17 RW wc 24h	HotAqueousMethanol_1		0.5	MX_TMS_1		data acquisition	17 RW wc 24h	26/06/2010 03:40	25/06/2010	17 RW wc 24h	17 RW wc 24h.CDF
18 RW wc 24h	HotAqueousMethanol_1		0.5	MX_TMS_1		data acquisition	18 RW wc 24h	26/06/2010 10:08	25/06/2010	18 RW wc 24h	18 RW wc 24h.CDF
